Team,Year,totalWins,totalLosses,BowlAppearances,BowlWins,All_Time_Win_Pct
alabama,1941.0,258.0,79.0,6,4,0.7655786350148368
alabama,1942.0,266.0,82.0,7,5,0.764367816091954
alabama,1944.0,271.0,84.0,8,5,0.7633802816901408
alabama,1945.0,281.0,84.0,9,6,0.7698630136986301
alabama,1946.0,288.0,88.0,9,6,0.7659574468085106
alabama,1947.0,296.0,91.0,10,6,0.7648578811369509
alabama,1948.0,302.0,95.0,10,6,0.760705289672544
alabama,1949.0,308.0,98.0,10,6,0.7586206896551724
alabama,1950.0,317.0,100.0,10,6,0.7601918465227818
alabama,1951.0,322.0,106.0,10,6,0.7523364485981309
alabama,1952.0,332.0,108.0,11,7,0.7545454545454545
alabama,1953.0,338.0,111.0,12,7,0.7527839643652561
alabama,1954.0,342.0,116.0,12,7,0.7467248908296943
alabama,1955.0,342.0,126.0,12,7,0.7307692307692307
alabama,1956.0,344.0,133.0,12,7,0.7211740041928721
alabama,1957.0,346.0,140.0,12,7,0.7119341563786008
alabama,1958.0,351.0,144.0,12,7,0.7090909090909091
alabama,1959.0,358.0,146.0,13,7,0.7103174603174603
alabama,1960.0,366.0,147.0,14,7,0.7134502923976608
alabama,1961.0,377.0,147.0,15,8,0.7194656488549618
alabama,1962.0,387.0,148.0,16,9,0.7233644859813084
alabama,1963.0,396.0,150.0,17,10,0.7252747252747253
alabama,1964.0,406.0,151.0,18,10,0.7289048473967684
alabama,1965.0,415.0,152.0,19,11,0.7319223985890653
alabama,1966.0,426.0,152.0,20,12,0.7370242214532872
alabama,1967.0,434.0,154.0,21,12,0.7380952380952381
alabama,1968.0,442.0,157.0,22,12,0.7378964941569283
alabama,1969.0,448.0,162.0,23,12,0.7344262295081967
alabama,1970.0,454.0,167.0,24,12,0.7310789049919485
alabama,1971.0,465.0,168.0,25,12,0.7345971563981043
alabama,1972.0,475.0,170.0,26,12,0.7364341085271318
alabama,1973.0,486.0,171.0,27,12,0.7397260273972602
alabama,1974.0,497.0,172.0,28,12,0.7428998505231689
alabama,1975.0,508.0,173.0,29,13,0.7459618208516887
alabama,1976.0,517.0,176.0,30,14,0.746031746031746
alabama,1977.0,528.0,177.0,31,15,0.7489361702127659
alabama,1978.0,539.0,178.0,32,16,0.7517433751743375
alabama,1979.0,551.0,178.0,33,17,0.7558299039780522
alabama,1980.0,561.0,180.0,34,18,0.757085020242915
alabama,1981.0,570.0,182.0,35,18,0.7579787234042553
alabama,1982.0,578.0,186.0,36,19,0.756544502617801
alabama,1983.0,586.0,190.0,37,20,0.7551546391752577
alabama,1984.0,591.0,196.0,37,20,0.7509529860228716
alabama,1985.0,600.0,198.0,38,21,0.7518796992481203
alabama,1986.0,610.0,201.0,39,22,0.752157829839704
alabama,1987.0,617.0,206.0,40,22,0.7496962332928311
alabama,1988.0,626.0,209.0,41,23,0.7497005988023953
alabama,1989.0,636.0,211.0,42,23,0.7508854781582054
alabama,1990.0,643.0,216.0,43,23,0.7485448195576252
alabama,1991.0,654.0,217.0,44,24,0.7508610792192881
alabama,1992.0,667.0,217.0,45,25,0.754524886877828
alabama,1993.0,676.0,220.0,46,26,0.7544642857142857
alabama,1994.0,688.0,221.0,47,27,0.7568756875687569
alabama,1995.0,696.0,224.0,47,27,0.7565217391304347
alabama,1996.0,706.0,227.0,48,28,0.7566988210075026
alabama,1997.0,710.0,234.0,48,28,0.7521186440677966
alabama,1998.0,717.0,239.0,49,28,0.75
alabama,1999.0,727.0,242.0,50,28,0.7502579979360166
alabama,2e3,730.0,250.0,50,28,0.7448979591836735
alabama,2001.0,737.0,255.0,51,29,0.7429435483870968
alabama,2002.0,747.0,258.0,51,29,0.7432835820895523
alabama,2003.0,751.0,267.0,51,29,0.737721021611002
alabama,2004.0,757.0,273.0,52,29,0.7349514563106796
alabama,2005.0,767.0,275.0,53,30,0.736084452975048
alabama,2006.0,773.0,282.0,54,30,0.7327014218009479
alabama,2007.0,780.0,288.0,55,31,0.7303370786516854
alabama,2008.0,792.0,290.0,56,31,0.7319778188539742
alabama,2009.0,806.0,290.0,57,32,0.7354014598540146
alabama,2010.0,816.0,293.0,58,33,0.7357980162308386
alabama,2011.0,828.0,294.0,59,34,0.7379679144385026
alabama,2012.0,841.0,295.0,60,35,0.7403169014084507
alabama,2013.0,852.0,297.0,61,35,0.741514360313316
alabama,2014.0,864.0,299.0,62,35,0.7429062768701634
alabama,2015.0,878.0,300.0,63,36,0.7453310696095077
alabama,2016.0,892.0,301.0,64,36,0.7476948868398994
arizona,1931.0,3.0,5.0,0,0,0.375
arizona,1932.0,7.0,10.0,0,0,0.4117647058823529
arizona,1933.0,12.0,13.0,0,0,0.48
arizona,1934.0,19.0,15.0,0,0,0.5588235294117647
arizona,1935.0,26.0,17.0,0,0,0.6046511627906976
arizona,1936.0,31.0,19.0,0,0,0.62
arizona,1937.0,39.0,21.0,0,0,0.65
arizona,1938.0,42.0,27.0,0,0,0.6086956521739131
arizona,1939.0,48.0,31.0,0,0,0.6075949367088608
arizona,1940.0,55.0,33.0,0,0,0.625
arizona,1941.0,62.0,36.0,0,0,0.6326530612244898
arizona,1942.0,68.0,40.0,0,0,0.6296296296296297
arizona,1946.0,72.0,44.0,0,0,0.6206896551724138
arizona,1947.0,77.0,48.0,0,0,0.616
arizona,1948.0,83.0,53.0,1,0,0.6102941176470589
arizona,1949.0,85.0,60.0,1,0,0.5862068965517241
arizona,1950.0,89.0,66.0,1,0,0.5741935483870968
arizona,1951.0,95.0,71.0,1,0,0.572289156626506
arizona,1952.0,101.0,75.0,1,0,0.5738636363636364
arizona,1953.0,105.0,80.0,1,0,0.5675675675675675
arizona,1954.0,112.0,83.0,1,0,0.5743589743589743
arizona,1955.0,117.0,87.0,1,0,0.5735294117647058
arizona,1956.0,121.0,93.0,1,0,0.5654205607476636
arizona,1957.0,122.0,101.0,1,0,0.547085201793722
arizona,1958.0,125.0,108.0,1,0,0.5364806866952789
arizona,1959.0,129.0,114.0,1,0,0.5308641975308642
arizona,1960.0,136.0,117.0,1,0,0.5375494071146245
arizona,1961.0,144.0,118.0,1,0,0.549618320610687
arizona,1962.0,149.0,123.0,1,0,0.5477941176470589
arizona,1963.0,154.0,128.0,1,0,0.5460992907801419
arizona,1964.0,160.0,131.0,1,0,0.5498281786941581
arizona,1965.0,163.0,138.0,1,0,0.5415282392026578
arizona,1966.0,166.0,145.0,1,0,0.5337620578778135
arizona,1967.0,169.0,151.0,1,0,0.528125
arizona,1968.0,177.0,154.0,2,0,0.5347432024169184
arizona,1969.0,180.0,161.0,2,0,0.5278592375366569
arizona,1970.0,184.0,167.0,2,0,0.5242165242165242
arizona,1971.0,189.0,173.0,2,0,0.5220994475138122
arizona,1972.0,193.0,180.0,2,0,0.517426273458445
arizona,1973.0,201.0,183.0,2,0,0.5234375
arizona,1974.0,210.0,185.0,2,0,0.5316455696202531
arizona,1975.0,219.0,187.0,2,0,0.5394088669950738
arizona,1976.0,224.0,193.0,2,0,0.5371702637889688
arizona,1977.0,229.0,200.0,2,0,0.5337995337995338
arizona,1978.0,234.0,206.0,2,0,0.5318181818181819
arizona,1979.0,240.0,211.0,3,0,0.532150776053215
arizona,1980.0,245.0,217.0,3,0,0.5303030303030303
arizona,1981.0,251.0,222.0,3,0,0.5306553911205074
arizona,1982.0,257.0,226.0,3,0,0.5320910973084886
arizona,1983.0,264.0,229.0,3,0,0.5354969574036511
arizona,1984.0,271.0,233.0,3,0,0.5376984126984127
arizona,1985.0,279.0,236.0,4,0,0.541747572815534
arizona,1986.0,288.0,239.0,5,1,0.5464895635673624
arizona,1987.0,292.0,243.0,5,1,0.5457943925233645
arizona,1988.0,299.0,247.0,5,1,0.5476190476190477
arizona,1989.0,307.0,251.0,6,2,0.5501792114695341
arizona,1990.0,314.0,256.0,7,2,0.5508771929824562
arizona,1991.0,318.0,263.0,7,2,0.5473321858864028
arizona,1992.0,324.0,268.0,8,2,0.5472972972972973
arizona,1993.0,334.0,270.0,9,3,0.5529801324503312
arizona,1994.0,342.0,274.0,10,3,0.5551948051948052
arizona,1995.0,348.0,279.0,10,3,0.5550239234449761
arizona,1996.0,353.0,285.0,10,3,0.5532915360501567
arizona,1997.0,360.0,290.0,11,4,0.5538461538461539
arizona,1998.0,372.0,291.0,12,5,0.5610859728506787
arizona,1999.0,378.0,297.0,12,5,0.56
arizona,2e3,383.0,303.0,12,5,0.5583090379008746
arizona,2001.0,388.0,309.0,12,5,0.5566714490674318
arizona,2002.0,392.0,317.0,12,5,0.5528913963328632
arizona,2003.0,394.0,327.0,12,5,0.5464632454923717
arizona,2004.0,397.0,335.0,12,5,0.5423497267759563
arizona,2005.0,400.0,343.0,12,5,0.5383580080753702
arizona,2006.0,406.0,349.0,12,5,0.5377483443708609
arizona,2007.0,411.0,356.0,12,5,0.5358539765319427
arizona,2008.0,419.0,361.0,13,6,0.5371794871794872
arizona,2009.0,427.0,366.0,14,6,0.5384615384615384
arizona,2010.0,434.0,372.0,15,6,0.5384615384615384
arizona,2011.0,438.0,380.0,15,6,0.5354523227383863
arizona,2012.0,446.0,385.0,16,7,0.5367027677496992
arizona,2013.0,454.0,390.0,17,8,0.5379146919431279
arizona,2014.0,464.0,394.0,18,8,0.5407925407925408
arizona,2015.0,471.0,400.0,19,9,0.5407577497129736
arizona,2016.0,474.0,409.0,19,9,0.5368063420158551
arizona-state,1931.0,6.0,2.0,0,0,0.75
arizona-state,1932.0,10.0,5.0,0,0,0.6666666666666666
arizona-state,1933.0,13.0,10.0,0,0,0.5652173913043478
arizona-state,1934.0,17.0,13.0,0,0,0.5666666666666667
arizona-state,1935.0,19.0,18.0,0,0,0.5135135135135135
arizona-state,1936.0,23.0,23.0,0,0,0.5
arizona-state,1937.0,23.0,31.0,0,0,0.42592592592592593
arizona-state,1938.0,26.0,37.0,0,0,0.4126984126984127
arizona-state,1939.0,34.0,39.0,1,0,0.4657534246575342
arizona-state,1940.0,41.0,41.0,2,0,0.5
arizona-state,1941.0,46.0,46.0,2,0,0.5
arizona-state,1942.0,48.0,54.0,2,0,0.47058823529411764
arizona-state,1946.0,50.0,61.0,2,0,0.45045045045045046
arizona-state,1947.0,54.0,68.0,2,0,0.4426229508196721
arizona-state,1948.0,59.0,73.0,2,0,0.44696969696969696
arizona-state,1949.0,66.0,76.0,3,0,0.4647887323943662
arizona-state,1950.0,75.0,78.0,4,0,0.49019607843137253
arizona-state,1951.0,81.0,81.0,4,0,0.5
arizona-state,1952.0,87.0,84.0,4,0,0.5087719298245614
arizona-state,1953.0,91.0,89.0,4,0,0.5055555555555555
arizona-state,1954.0,96.0,94.0,4,0,0.5052631578947369
arizona-state,1955.0,104.0,96.0,4,0,0.52
arizona-state,1956.0,113.0,97.0,4,0,0.5380952380952381
arizona-state,1957.0,123.0,97.0,4,0,0.5590909090909091
arizona-state,1958.0,130.0,100.0,4,0,0.5652173913043478
arizona-state,1959.0,140.0,101.0,4,0,0.5809128630705395
arizona-state,1960.0,147.0,104.0,4,0,0.5856573705179283
arizona-state,1961.0,154.0,107.0,4,0,0.5900383141762452
arizona-state,1962.0,161.0,109.0,4,0,0.5962962962962963
arizona-state,1963.0,169.0,110.0,4,0,0.6057347670250897
arizona-state,1964.0,177.0,112.0,4,0,0.6124567474048442
arizona-state,1965.0,183.0,116.0,4,0,0.6120401337792643
arizona-state,1966.0,188.0,121.0,4,0,0.6084142394822006
arizona-state,1967.0,196.0,123.0,4,0,0.6144200626959248
arizona-state,1968.0,204.0,125.0,4,0,0.6200607902735562
arizona-state,1969.0,212.0,127.0,4,0,0.6253687315634219
arizona-state,1970.0,223.0,127.0,5,1,0.6371428571428571
arizona-state,1971.0,234.0,128.0,6,2,0.6464088397790055
arizona-state,1972.0,244.0,130.0,7,3,0.6524064171122995
arizona-state,1973.0,255.0,131.0,8,4,0.6606217616580311
arizona-state,1974.0,262.0,136.0,8,4,0.6582914572864321
arizona-state,1975.0,274.0,136.0,9,5,0.6682926829268293
arizona-state,1976.0,278.0,143.0,9,5,0.6603325415676959
arizona-state,1977.0,287.0,146.0,10,5,0.6628175519630485
arizona-state,1978.0,296.0,149.0,11,6,0.6651685393258427
arizona-state,1979.0,302.0,155.0,11,6,0.6608315098468271
arizona-state,1980.0,309.0,159.0,11,6,0.6602564102564102
arizona-state,1981.0,318.0,161.0,11,6,0.6638830897703549
arizona-state,1982.0,328.0,163.0,12,7,0.6680244399185336
arizona-state,1983.0,334.0,167.0,12,7,0.6666666666666666
arizona-state,1984.0,339.0,173.0,12,7,0.662109375
arizona-state,1985.0,347.0,177.0,13,7,0.6622137404580153
arizona-state,1986.0,357.0,178.0,14,8,0.6672897196261682
arizona-state,1987.0,364.0,182.0,15,9,0.6666666666666666
arizona-state,1988.0,370.0,187.0,15,9,0.6642728904847397
arizona-state,1989.0,376.0,191.0,15,9,0.6631393298059964
arizona-state,1990.0,380.0,198.0,15,9,0.657439446366782
arizona-state,1991.0,386.0,203.0,15,9,0.6553480475382003
arizona-state,1992.0,392.0,208.0,15,9,0.6533333333333333
arizona-state,1993.0,398.0,213.0,15,9,0.6513911620294599
arizona-state,1994.0,401.0,221.0,15,9,0.6446945337620579
arizona-state,1995.0,407.0,226.0,15,9,0.6429699842022117
arizona-state,1996.0,418.0,227.0,16,9,0.648062015503876
arizona-state,1997.0,427.0,230.0,17,10,0.649923896499239
arizona-state,1998.0,432.0,236.0,17,10,0.6467065868263473
arizona-state,1999.0,438.0,242.0,18,10,0.6441176470588236
arizona-state,2e3,444.0,248.0,19,10,0.6416184971098265
arizona-state,2001.0,448.0,255.0,19,10,0.6372688477951636
arizona-state,2002.0,456.0,261.0,20,10,0.6359832635983264
arizona-state,2003.0,461.0,268.0,20,10,0.6323731138545954
arizona-state,2004.0,470.0,271.0,21,11,0.6342780026990553
arizona-state,2005.0,477.0,276.0,22,12,0.6334661354581673
arizona-state,2006.0,484.0,282.0,23,12,0.6318537859007833
arizona-state,2007.0,494.0,285.0,24,12,0.6341463414634146
arizona-state,2008.0,499.0,292.0,24,12,0.6308470290771175
arizona-state,2009.0,503.0,300.0,24,12,0.6264009962640099
arizona-state,2010.0,509.0,306.0,24,12,0.6245398773006134
arizona-state,2011.0,515.0,313.0,25,12,0.6219806763285024
arizona-state,2012.0,523.0,318.0,26,13,0.6218787158145065
arizona-state,2013.0,533.0,322.0,27,13,0.623391812865497
arizona-state,2014.0,543.0,325.0,28,14,0.6255760368663594
arizona-state,2015.0,549.0,332.0,29,14,0.623155505107832
arizona-state,2016.0,554.0,339.0,29,14,0.620380739081747
arkansas,1906.0,2.0,4.0,0,0,0.3333333333333333
arkansas,1907.0,6.0,8.0,0,0,0.42857142857142855
arkansas,1908.0,11.0,12.0,0,0,0.4782608695652174
arkansas,1909.0,18.0,12.0,0,0,0.6
arkansas,1910.0,25.0,13.0,0,0,0.6578947368421053
arkansas,1911.0,31.0,15.0,0,0,0.6739130434782609
arkansas,1912.0,35.0,21.0,0,0,0.625
arkansas,1913.0,42.0,23.0,0,0,0.6461538461538462
arkansas,1914.0,45.0,29.0,0,0,0.6081081081081081
arkansas,1915.0,49.0,31.0,0,0,0.6125
arkansas,1916.0,53.0,35.0,0,0,0.6022727272727273
arkansas,1917.0,58.0,36.0,0,0,0.6170212765957447
arkansas,1918.0,61.0,38.0,0,0,0.6161616161616161
arkansas,1919.0,64.0,42.0,0,0,0.6037735849056604
arkansas,1920.0,67.0,44.0,0,0,0.6036036036036037
arkansas,1921.0,72.0,47.0,0,0,0.6050420168067226
arkansas,1922.0,76.0,52.0,0,0,0.59375
arkansas,1923.0,82.0,54.0,0,0,0.6029411764705882
arkansas,1924.0,89.0,56.0,0,0,0.6137931034482759
arkansas,1925.0,93.0,60.0,0,0,0.6078431372549019
arkansas,1926.0,98.0,65.0,0,0,0.6012269938650306
arkansas,1927.0,106.0,66.0,0,0,0.6162790697674418
arkansas,1928.0,113.0,68.0,0,0,0.6243093922651933
arkansas,1929.0,120.0,70.0,0,0,0.631578947368421
arkansas,1930.0,123.0,76.0,0,0,0.6180904522613065
arkansas,1931.0,126.0,81.0,0,0,0.6086956521739131
arkansas,1932.0,127.0,87.0,0,0,0.5934579439252337
arkansas,1933.0,134.0,90.0,1,0,0.5982142857142857
arkansas,1934.0,138.0,94.0,1,0,0.5948275862068966
arkansas,1935.0,143.0,99.0,1,0,0.5909090909090909
arkansas,1936.0,150.0,102.0,1,0,0.5952380952380952
arkansas,1937.0,156.0,104.0,1,0,0.6
arkansas,1938.0,158.0,111.0,1,0,0.587360594795539
arkansas,1939.0,162.0,116.0,1,0,0.5827338129496403
arkansas,1940.0,166.0,122.0,1,0,0.5763888888888888
arkansas,1941.0,169.0,129.0,1,0,0.5671140939597316
arkansas,1942.0,172.0,136.0,1,0,0.5584415584415584
arkansas,1943.0,174.0,143.0,1,0,0.5488958990536278
arkansas,1944.0,179.0,148.0,1,0,0.5474006116207951
arkansas,1945.0,182.0,155.0,1,0,0.5400593471810089
arkansas,1946.0,188.0,158.0,2,0,0.5433526011560693
arkansas,1947.0,194.0,162.0,3,1,0.5449438202247191
arkansas,1948.0,199.0,167.0,3,1,0.5437158469945356
arkansas,1949.0,204.0,172.0,3,1,0.5425531914893617
arkansas,1950.0,206.0,180.0,3,1,0.533678756476684
arkansas,1951.0,211.0,185.0,3,1,0.5328282828282829
arkansas,1952.0,213.0,193.0,3,1,0.5246305418719212
arkansas,1953.0,216.0,200.0,3,1,0.5192307692307693
arkansas,1954.0,224.0,203.0,4,1,0.5245901639344263
arkansas,1955.0,229.0,207.0,4,1,0.5252293577981652
arkansas,1956.0,235.0,211.0,4,1,0.5269058295964125
arkansas,1957.0,241.0,215.0,4,1,0.5285087719298246
arkansas,1958.0,245.0,221.0,4,1,0.5257510729613734
arkansas,1959.0,254.0,223.0,5,2,0.5324947589098532
arkansas,1960.0,262.0,226.0,6,2,0.5368852459016393
arkansas,1961.0,270.0,229.0,7,2,0.5410821643286573
arkansas,1962.0,279.0,231.0,8,2,0.5470588235294118
arkansas,1963.0,284.0,236.0,8,2,0.5461538461538461
arkansas,1964.0,295.0,236.0,9,3,0.5555555555555556
arkansas,1965.0,305.0,237.0,10,3,0.5627306273062731
arkansas,1966.0,313.0,239.0,10,3,0.5670289855072463
arkansas,1967.0,317.0,244.0,10,3,0.5650623885918004
arkansas,1968.0,327.0,245.0,11,4,0.5716783216783217
arkansas,1969.0,336.0,247.0,12,4,0.5763293310463122
arkansas,1970.0,345.0,249.0,12,4,0.5808080808080808
arkansas,1971.0,353.0,252.0,13,4,0.5834710743801653
arkansas,1972.0,359.0,257.0,13,4,0.5827922077922078
arkansas,1973.0,364.0,262.0,13,4,0.5814696485623003
arkansas,1974.0,370.0,266.0,13,4,0.5817610062893082
arkansas,1975.0,380.0,268.0,14,5,0.5864197530864198
arkansas,1976.0,385.0,273.0,14,5,0.5851063829787234
arkansas,1977.0,396.0,274.0,15,6,0.591044776119403
arkansas,1978.0,405.0,276.0,16,6,0.5947136563876652
arkansas,1979.0,415.0,278.0,17,6,0.5988455988455988
arkansas,1980.0,422.0,283.0,18,7,0.5985815602836879
arkansas,1981.0,430.0,287.0,19,7,0.599721059972106
arkansas,1982.0,439.0,289.0,20,8,0.603021978021978
arkansas,1983.0,445.0,294.0,20,8,0.6021650879566982
arkansas,1984.0,452.0,298.0,21,8,0.6026666666666667
arkansas,1985.0,462.0,300.0,22,9,0.6062992125984252
arkansas,1986.0,471.0,303.0,23,9,0.6085271317829457
arkansas,1987.0,480.0,307.0,24,9,0.6099110546378653
arkansas,1988.0,490.0,309.0,25,9,0.6132665832290363
arkansas,1989.0,500.0,311.0,26,9,0.6165228113440198
arkansas,1990.0,503.0,319.0,26,9,0.6119221411192214
arkansas,1991.0,509.0,325.0,27,9,0.6103117505995204
arkansas,1992.0,512.0,332.0,27,9,0.6066350710900474
arkansas,1993.0,517.0,337.0,27,9,0.6053864168618267
arkansas,1994.0,521.0,344.0,27,9,0.6023121387283237
arkansas,1995.0,529.0,349.0,28,9,0.60250569476082
arkansas,1996.0,533.0,356.0,28,9,0.5995500562429696
arkansas,1997.0,537.0,363.0,28,9,0.5966666666666667
arkansas,1998.0,546.0,366.0,29,9,0.5986842105263158
arkansas,1999.0,554.0,370.0,30,10,0.5995670995670995
arkansas,2e3,560.0,376.0,31,10,0.5982905982905983
arkansas,2001.0,567.0,381.0,32,10,0.5981012658227848
arkansas,2002.0,576.0,386.0,33,10,0.5987525987525988
arkansas,2003.0,585.0,390.0,34,11,0.6
arkansas,2004.0,590.0,396.0,34,11,0.5983772819472617
arkansas,2005.0,594.0,403.0,34,11,0.5957873620862588
arkansas,2006.0,604.0,407.0,35,11,0.5974282888229476
arkansas,2007.0,612.0,412.0,36,11,0.59765625
arkansas,2008.0,617.0,419.0,36,11,0.5955598455598455
arkansas,2009.0,625.0,424.0,37,12,0.5958055290753098
arkansas,2010.0,635.0,427.0,38,12,0.5979284369114878
arkansas,2011.0,646.0,429.0,39,13,0.6009302325581395
arkansas,2012.0,650.0,437.0,39,13,0.5979760809567617
arkansas,2013.0,653.0,446.0,39,13,0.5941765241128298
arkansas,2014.0,660.0,452.0,40,14,0.5935251798561151
arkansas,2015.0,668.0,457.0,41,15,0.5937777777777777
arkansas,2016.0,675.0,463.0,42,15,0.5931458699472759
auburn,1902.0,2.0,4.0,0,0,0.3333333333333333
auburn,1903.0,6.0,7.0,0,0,0.46153846153846156
auburn,1904.0,12.0,7.0,0,0,0.631578947368421
auburn,1905.0,14.0,11.0,0,0,0.56
auburn,1906.0,15.0,16.0,0,0,0.4838709677419355
auburn,1907.0,21.0,18.0,0,0,0.5384615384615384
auburn,1908.0,27.0,19.0,0,0,0.5869565217391305
auburn,1909.0,32.0,21.0,0,0,0.6037735849056604
auburn,1910.0,38.0,22.0,0,0,0.6333333333333333
auburn,1911.0,42.0,24.0,0,0,0.6363636363636364
auburn,1912.0,48.0,25.0,0,0,0.6575342465753424
auburn,1913.0,56.0,25.0,0,0,0.691358024691358
auburn,1914.0,64.0,25.0,0,0,0.7191011235955056
auburn,1915.0,70.0,27.0,0,0,0.7216494845360825
auburn,1916.0,76.0,29.0,0,0,0.7238095238095238
auburn,1917.0,82.0,31.0,0,0,0.7256637168141593
auburn,1918.0,84.0,36.0,0,0,0.7
auburn,1919.0,92.0,37.0,0,0,0.7131782945736435
auburn,1920.0,99.0,39.0,0,0,0.717391304347826
auburn,1921.0,104.0,42.0,0,0,0.7123287671232876
auburn,1922.0,112.0,44.0,0,0,0.717948717948718
auburn,1923.0,115.0,47.0,0,0,0.7098765432098766
auburn,1924.0,119.0,51.0,0,0,0.7
auburn,1925.0,124.0,54.0,0,0,0.6966292134831461
auburn,1926.0,129.0,58.0,0,0,0.6898395721925134
auburn,1927.0,129.0,65.0,0,0,0.6649484536082474
auburn,1928.0,130.0,73.0,0,0,0.6403940886699507
auburn,1929.0,132.0,80.0,0,0,0.6226415094339622
auburn,1930.0,135.0,87.0,0,0,0.6081081081081081
auburn,1931.0,140.0,90.0,0,0,0.6086956521739131
auburn,1932.0,149.0,90.0,0,0,0.6234309623430963
auburn,1933.0,154.0,95.0,0,0,0.6184738955823293
auburn,1934.0,156.0,103.0,0,0,0.6023166023166023
auburn,1935.0,164.0,105.0,0,0,0.6096654275092936
auburn,1936.0,171.0,107.0,1,0,0.6151079136690647
auburn,1937.0,177.0,109.0,2,1,0.6188811188811189
auburn,1938.0,181.0,114.0,2,1,0.6135593220338983
auburn,1939.0,186.0,119.0,2,1,0.6098360655737705
auburn,1940.0,192.0,123.0,2,1,0.6095238095238096
auburn,1941.0,196.0,128.0,2,1,0.6049382716049383
auburn,1942.0,202.0,132.0,2,1,0.6047904191616766
auburn,1944.0,206.0,136.0,2,1,0.6023391812865497
auburn,1945.0,211.0,141.0,2,1,0.5994318181818182
auburn,1946.0,215.0,147.0,2,1,0.5939226519337016
auburn,1947.0,217.0,154.0,2,1,0.5849056603773585
auburn,1948.0,218.0,162.0,2,1,0.5736842105263158
auburn,1949.0,220.0,166.0,2,1,0.5699481865284974
auburn,1950.0,220.0,176.0,2,1,0.5555555555555556
auburn,1951.0,225.0,181.0,2,1,0.5541871921182266
auburn,1952.0,227.0,189.0,2,1,0.5456730769230769
auburn,1953.0,234.0,192.0,3,1,0.5492957746478874
auburn,1954.0,242.0,195.0,4,2,0.5537757437070938
auburn,1955.0,250.0,197.0,5,2,0.5592841163310962
auburn,1956.0,257.0,200.0,5,2,0.562363238512035
auburn,1957.0,267.0,200.0,5,2,0.5717344753747323
auburn,1958.0,276.0,200.0,5,2,0.5798319327731093
auburn,1959.0,283.0,203.0,5,2,0.5823045267489712
auburn,1960.0,291.0,205.0,5,2,0.5866935483870968
auburn,1961.0,297.0,209.0,5,2,0.5869565217391305
auburn,1962.0,303.0,212.0,5,2,0.5883495145631068
auburn,1963.0,312.0,214.0,6,2,0.5931558935361216
auburn,1964.0,318.0,218.0,6,2,0.5932835820895522
auburn,1965.0,323.0,223.0,7,2,0.5915750915750916
auburn,1966.0,327.0,229.0,7,2,0.5881294964028777
auburn,1967.0,333.0,233.0,7,2,0.588339222614841
auburn,1968.0,340.0,237.0,8,3,0.5892547660311959
auburn,1969.0,348.0,240.0,9,3,0.5918367346938775
auburn,1970.0,357.0,242.0,10,4,0.5959933222036727
auburn,1971.0,366.0,244.0,11,4,0.6
auburn,1972.0,376.0,245.0,12,5,0.605475040257649
auburn,1973.0,382.0,251.0,13,5,0.6034755134281201
